,id,first_name,last_name,specialty,sub_specialty,languages
0,1,Skippie,Wynch,Radiology,"Interventional Radiology, Neuroradiology, Breast Imaging, Musculoskeletal Radiology",English
1,2,Dallis,Maunsell,Internal Medicine,"Medical Oncology, Clinical Pharmacology","English, German"
2,3,Jasun,Durman,Endocrinology,Adrenal Disorders,"Arabic, Spanish"
3,4,Adriano,Aiers,Orthopedics,Spine Surgery,"English, Arabic"
4,5,Annie,Iacovielli,Rheumatology,"Rheumatoid Arthritis, Vasculitis",English
5,6,Lettie,Granger,Cardiology,"Heart Failure, Interventional Cardiology, Pediatric Cardiology",English
6,7,Anjela,Meugens,Ophthalmology,"Cornea, Glaucoma","Arabic, English"
7,8,Meade,Acuna,Radiology,Interventional Radiology,"English, Arabic"
8,9,Shalne,Laurand,Psychiatry,"Forensic Psychiatry, Geriatric Psychiatry","English, French"
9,10,Irvine,Hightown,Dermatology,"Dermatopathology, Cosmetic Dermatology, Pediatric Dermatology","French, English"
10,11,Marwin,Velez,Dermatology,Mohs Surgery,"Arabic, Spanish"
11,12,Lucho,Hugland,Pediatrics,Pediatric Infectious Diseases,"English, English"
12,13,Cherrita,Sinnat,Pulmonology,Pulmonary Hypertension,"Hindi, Spanish"
13,14,Trev,Dyne,Oncology,"Palliative Oncology, Hematologic Malignancies",English
14,15,Ario,Knights,Geriatrics,"Palliative Care, Memory Disorders, Falls and Balance, Multimorbidity",Arabic
15,16,Timmy,Davidovich,Otolaryngology,"Laryngology, Head and Neck Surgery, Rhinology, Otology","Urdu, Spanish"
16,17,Dav,Goodhand,Internal Medicine,"Medical Oncology, Hospital Medicine, Clinical Pharmacology",English
17,18,Carleen,Buckhurst,Oncology,"Palliative Oncology, Breast Cancer",Urdu
18,19,Tallia,Goodhay,Emergency Medicine,"Ultrasound, Disaster Medicine","Arabic, Arabic"
19,20,Thibaud,Garnall,Dermatology,"Dermatopathology, Mohs Surgery, Cosmetic Dermatology, Pediatric Dermatology",English
20,21,Ancell,Harmes,Emergency Medicine,"Ultrasound, Toxicology, Disaster Medicine, Pediatric Emergency Medicine","Arabic, English"
21,22,Yorgos,Yarrow,Dermatology,Cosmetic Dermatology,"English, Arabic"
22,23,Ealasaid,Pollard,Pediatrics,"Pediatric Cardiology, Pediatric Neurology, Pediatric Endocrinology",English
23,24,Aviva,Blewmen,General Surgery,"Breast Surgery, Trauma Surgery, Colorectal Surgery","English, Urdu"
24,25,Aleta,O'Halloran,Obstetrics and Gynecology,"Maternal-Fetal Medicine, Gynecologic Oncology, Urogynecology",Urdu
25,26,Gamaliel,Preshous,Orthopedics,"Pediatric Orthopedics, Sports Medicine, Spine Surgery, Joint Replacement","English, Urdu"
26,27,Yorker,Sahnow,Obstetrics and Gynecology,"Gynecologic Oncology, Reproductive Endocrinology, Maternal-Fetal Medicine, Urogynecology","English, Arabic"
27,28,Si,Doneld,Psychiatry,"Child and Adolescent Psychiatry, Addiction Psychiatry","German, Urdu"
28,29,Shirlee,Carrane,Hematology,"Lymphoma, Coagulation Disorders","English, German"
29,30,Rikki,O'Rowane,Geriatrics,"Memory Disorders, Falls and Balance, Multimorbidity, Palliative Care","English, Arabic"
30,31,Maura,Sango,Neurology,"Epilepsy, Stroke, Neuromuscular Disorders, Multiple Sclerosis","English, English"
31,32,Goober,Canty,Pediatrics,"Pediatric Neurology, Pediatric Endocrinology, Pediatric Infectious Diseases, Pediatric Cardiology",Arabic
32,33,Cybil,Cunah,Ophthalmology,"Retina, Pediatric Ophthalmology, Glaucoma, Cornea","Urdu, Hindi"
33,34,Benny,Gorst,General Surgery,Breast Surgery,"English, Urdu"
34,35,Kerrill,Vanderplas,Ophthalmology,"Cornea, Retina, Pediatric Ophthalmology","Arabic, Spanish"
35,36,Celle,Dewi,Dermatology,Pediatric Dermatology,"English, English"
36,37,Vale,Woollard,General Surgery,"Colorectal Surgery, Minimally Invasive Surgery, Trauma Surgery, Breast Surgery","English, Urdu"
37,38,Mira,Mankor,Oncology,"Palliative Oncology, Lung Cancer","Hindi, Hindi"
38,39,Yvonne,McNeil,Infectious Diseases,Tuberculosis,"Urdu, Arabic"
39,40,Eustacia,Eickhoff,Orthopedics,"Pediatric Orthopedics, Spine Surgery, Joint Replacement","English, German"
40,41,Leonora,Arlet,Endocrinology,"Adrenal Disorders, Diabetes, Pituitary Disorders, Thyroid Disorders","English, German"
41,42,Valida,Matisoff,Urology,Endourology,Arabic
42,43,Angele,Pellamont,General Surgery,Breast Surgery,"English, Spanish"
43,44,Filmore,Blair,Cardiology,"Pediatric Cardiology, Interventional Cardiology, Heart Failure","Hindi, English"
44,45,Lavena,Irdale,Ophthalmology,"Retina, Glaucoma, Pediatric Ophthalmology, Cornea","Hindi, Urdu"
45,46,Cherilyn,Corradengo,Nephrology,"Chronic Kidney Disease, Glomerular Diseases","Arabic, Hindi"
46,47,Aila,Corby,Pulmonology,"Sleep Medicine, Interstitial Lung Disease, Pulmonary Hypertension, Critical Care",German
47,48,Ralf,Dowbiggin,Nephrology,"Transplant Nephrology, Chronic Kidney Disease","Hindi, English"
48,49,Bettina,Gaggen,Radiology,"Interventional Radiology, Musculoskeletal Radiology, Neuroradiology, Breast Imaging",Spanish
49,50,Donelle,Christian,Otolaryngology,Rhinology,"English, German"
50,51,Jennine,Roycroft,Oncology,"Breast Cancer, Hematologic Malignancies","English, Hindi"
51,52,Roxine,Nijs,Pulmonology,"Sleep Medicine, Critical Care","Hindi, Spanish"
52,53,Julian,Jindra,Rheumatology,Rheumatoid Arthritis,English
53,54,Blisse,Lycett,Nephrology,"Glomerular Diseases, Transplant Nephrology, Dialysis","Arabic, French"
54,55,Gray,Dickerson,Internal Medicine,"Hospital Medicine, Medical Oncology",Urdu
55,56,Nicolis,Larkworthy,Dermatology,Mohs Surgery,German
56,57,Isidore,Pinkie,Psychiatry,"Forensic Psychiatry, Child and Adolescent Psychiatry, Geriatric Psychiatry, Addiction Psychiatry",Urdu
57,58,Neils,Flaherty,Geriatrics,"Multimorbidity, Memory Disorders, Falls and Balance, Palliative Care","Urdu, French"
58,59,Emeline,Washbrook,Dermatology,"Mohs Surgery, Dermatopathology, Pediatric Dermatology","English, English"
59,60,Nanni,Glew,Obstetrics and Gynecology,"Reproductive Endocrinology, Maternal-Fetal Medicine, Gynecologic Oncology, Urogynecology",English
60,61,Juanita,Castleman,Urology,"Endourology, Female Urology","French, English"
61,62,Linea,Hounsom,Pulmonology,"Critical Care, Pulmonary Hypertension","Hindi, Urdu"
62,63,Auberon,MacGray,Internal Medicine,"Hospital Medicine, Clinical Pharmacology, Medical Oncology","English, Arabic"
63,64,Anjela,Byer,Oncology,"Lung Cancer, Hematologic Malignancies","English, French"
64,65,Eldon,Hyndman,Rheumatology,"Spondyloarthritis, Lupus, Rheumatoid Arthritis, Vasculitis","English, Urdu"
65,66,Sheila,Jaumet,Dermatology,"Dermatopathology, Mohs Surgery, Cosmetic Dermatology",English
66,67,Gavan,Leonard,Oncology,"Palliative Oncology, Breast Cancer","Urdu, Urdu"
67,68,Neil,Dudson,Obstetrics and Gynecology,Gynecologic Oncology,"Arabic, French"
68,69,Susette,Godard,Urology,"Endourology, Pediatric Urology, Female Urology, Urologic Oncology","French, Arabic"
69,70,Madelaine,Moggle,Rheumatology,"Rheumatoid Arthritis, Vasculitis, Lupus, Spondyloarthritis",English
70,71,Broderic,Farris,Hematology,"Coagulation Disorders, Leukemia",English
71,72,Erek,Piell,Pulmonology,"Sleep Medicine, Critical Care, Pulmonary Hypertension, Interstitial Lung Disease","Hindi, Urdu"
72,73,Zolly,Victor,Oncology,Lung Cancer,"Hindi, Urdu"
73,74,Tawsha,Dowker,Infectious Diseases,"HIV/AIDS, Antimicrobial Stewardship","English, English"
74,75,Eddi,Norcutt,Neurology,Neuromuscular Disorders,"English, English"
75,76,Margo,Langcastle,Psychiatry,"Geriatric Psychiatry, Forensic Psychiatry, Child and Adolescent Psychiatry, Addiction Psychiatry","English, English"
76,77,Hew,Lamball,Oncology,"Lung Cancer, Hematologic Malignancies, Palliative Oncology","Arabic, German"
77,78,Cindee,MacCaffery,Urology,Female Urology,"Spanish, German"
78,79,Harold,Habbeshaw,Plastic Surgery,Reconstructive Surgery,"Spanish, French"
79,80,Annmarie,Crosscombe,Endocrinology,"Pituitary Disorders, Thyroid Disorders, Diabetes, Adrenal Disorders",Arabic
80,81,Danyelle,Center,Nephrology,Glomerular Diseases,German
81,82,Abbye,Lyddyard,Ophthalmology,"Pediatric Ophthalmology, Glaucoma, Retina, Cornea",Spanish
82,83,Constantia,Battye,Pulmonology,"Sleep Medicine, Critical Care",English
83,84,Stoddard,Blaase,Geriatrics,"Palliative Care, Falls and Balance","Spanish, Urdu"
84,85,Suzie,Mudd,Gastroenterology,Inflammatory Bowel Disease,Spanish
85,86,Cindie,Bumpus,Geriatrics,"Memory Disorders, Palliative Care, Multimorbidity","Urdu, Spanish"
86,87,Lucille,Greger,Hematology,"Leukemia, Coagulation Disorders",Arabic
87,88,Myca,Cotes,Neurology,"Epilepsy, Neuromuscular Disorders, Multiple Sclerosis","Arabic, Spanish"
88,89,Josefina,Stark,Internal Medicine,"Medical Oncology, Primary Care, Hospital Medicine, Clinical Pharmacology","Arabic, Arabic"
89,90,Trista,Hillam,Plastic Surgery,"Craniofacial Surgery, Reconstructive Surgery","English, Urdu"
90,91,Aline,Faraker,Radiology,"Interventional Radiology, Breast Imaging, Neuroradiology, Musculoskeletal Radiology","English, Spanish"
91,92,Reamonn,Clamo,Otolaryngology,"Rhinology, Laryngology, Otology","Hindi, Spanish"
92,93,Ethelda,Nourse,General Surgery,Trauma Surgery,"English, German"
93,94,Nikita,Maslin,Orthopedics,"Joint Replacement, Sports Medicine, Spine Surgery, Pediatric Orthopedics","English, English"
94,95,Gwenette,Scripps,Family Medicine,Geriatric Medicine,English
95,96,Marwin,Bremen,Family Medicine,"Adolescent Medicine, Women's Health, Geriatric Medicine, Preventive Care","French, Arabic"
96,97,Sinclare,Shakspeare,Cardiology,"Cardiac Imaging, Heart Failure","English, Spanish"
97,98,Wilmette,Mair,Gastroenterology,"Advanced Endoscopy, Hepatology, Pancreatology, Inflammatory Bowel Disease",English
98,99,Cordie,Carek,Neurology,"Stroke, Multiple Sclerosis",English
99,100,Cletis,Emtage,Cardiology,"Interventional Cardiology, Heart Failure, Electrophysiology, Pediatric Cardiology","English, Arabic"
100,101,Hyatt,Craythorne,Oncology,Breast Cancer,"English, French"
101,102,Honor,Meininger,Rheumatology,Vasculitis,"English, Arabic"
102,103,Jane,Caulwell,Dermatology,Cosmetic Dermatology,Hindi
